date,region,store,category,product,sales_yen,gross_profit_yen,units,customers
2026-01-31,関東,東京駅前店,弁当,幕の内弁当,12800000,3580000,6400,5200
2026-01-31,関東,横浜港北店,飲料,緑茶 500ml,7600000,2210000,15200,6800
2026-01-31,関西,大阪梅田店,惣菜,唐揚げパック,9300000,2790000,9300,6100
2026-01-31,九州,福岡天神店,冷凍食品,冷凍餃子,6900000,1720000,4600,3900
2026-02-28,関東,東京駅前店,弁当,幕の内弁当,13200000,3690000,6600,5400
2026-02-28,関東,横浜港北店,飲料,緑茶 500ml,7350000,2130000,14700,6600
2026-02-28,関西,大阪梅田店,惣菜,唐揚げパック,10100000,3030000,10100,6500
2026-02-28,九州,福岡天神店,冷凍食品,冷凍餃子,7200000,1800000,4800,4100
2026-03-31,関東,東京駅前店,弁当,幕の内弁当,14900000,4170000,7450,6000
2026-03-31,関東,横浜港北店,飲料,緑茶 500ml,8200000,2390000,16400,7200
2026-03-31,関西,大阪梅田店,惣菜,唐揚げパック,11200000,3360000,11200,7000
2026-03-31,九州,福岡天神店,冷凍食品,冷凍餃子,7600000,1900000,5060,4300
2026-04-30,関東,東京駅前店,弁当,幕の内弁当,15300000,4280000,7650,6200
2026-04-30,関東,横浜港北店,飲料,緑茶 500ml,8900000,2590000,17800,7600
2026-04-30,関西,大阪梅田店,惣菜,唐揚げパック,10800000,3240000,10800,6800
2026-04-30,九州,福岡天神店,冷凍食品,冷凍餃子,8100000,2020000,5400,4500
2026-05-31,関東,東京駅前店,弁当,幕の内弁当,16100000,4510000,8050,6500
2026-05-31,関東,横浜港北店,飲料,緑茶 500ml,10400000,3020000,20800,8500
2026-05-31,関西,大阪梅田店,惣菜,唐揚げパック,11600000,3480000,11600,7300
2026-05-31,九州,福岡天神店,冷凍食品,冷凍餃子,8500000,2120000,5660,4700
2026-06-30,関東,東京駅前店,弁当,幕の内弁当,15800000,4420000,7900,6400
2026-06-30,関東,横浜港北店,飲料,緑茶 500ml,12100000,3510000,24200,9300
2026-06-30,関西,大阪梅田店,惣菜,唐揚げパック,11900000,3570000,11900,7500
2026-06-30,九州,福岡天神店,冷凍食品,冷凍餃子,8800000,2200000,5860,4900
