concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000001,Recipe,牛油火锅底料,牛油火锅底料 (Recipe),牛油火锅底料,[],其他,5,,,,,,dishes/semi-finished/牛油火锅底料.md
201000002,Recipe,凉皮,凉皮 (Recipe),凉皮,[],其他,3,,,,,,dishes/semi-finished/凉皮.md
201000003,Recipe,速冻馄饨,速冻馄饨 (Recipe),速冻馄饨,[],其他,2,,,,,,dishes/semi-finished/速冻馄饨.md
201000004,Recipe,速冻水饺,速冻水饺 (Recipe),速冻水饺,[],其他,1,,,,,,dishes/semi-finished/速冻水饺.md
201000005,Recipe,半成品意面,半成品意面 (Recipe),半成品意面,[],其他,1,,,,,,dishes/semi-finished/半成品意面.md
201000006,Recipe,炸薯条,炸薯条 (Recipe),炸薯条,"[{'term': '油炸薯条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'deep-fried薯条', 'language': 'en', 'language_code': 'en-US'}]",其他,2,,,,,,dishes/semi-finished/炸薯条/炸薯条.md
201000007,Recipe,空气炸锅羊排,空气炸锅羊排 (Recipe),空气炸锅羊排,"[{'term': '空气deep-fried锅羊排', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '空气油炸锅羊排', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,3,,,,,,dishes/semi-finished/空气炸锅羊排/空气炸锅羊排.md
201000008,Recipe,速冻汤圆,速冻汤圆 (Recipe),速冻汤圆,[],其他,1,,,,,,dishes/semi-finished/速冻汤圆/速冻汤圆.md
201000009,Recipe,空气炸锅鸡翅中,空气炸锅鸡翅中 (Recipe),空气炸锅鸡翅中,"[{'term': '空气deep-fried锅鸡翅中', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '空气油炸锅鸡翅中', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,2,,,,,,dishes/semi-finished/空气炸锅鸡翅中/空气炸锅鸡翅中.md
201000010,Recipe,懒人蛋挞,懒人蛋挞 (Recipe),懒人蛋挞,[],素菜,3,,,,,,dishes/semi-finished/懒人蛋挞/懒人蛋挞.md
201000011,Recipe,酸梅汤（半成品加工）,酸梅汤（半成品加工） (Recipe),酸梅汤（半成品加工）,[],其他,1,,,,,,dishes/drink/酸梅汤（半成品加工）.md
201000012,Recipe,冬瓜茶,冬瓜茶 (Recipe),冬瓜茶,[],其他,2,,,,,,dishes/drink/冬瓜茶.md
201000013,Recipe,B52轰炸机,B52轰炸机 (Recipe),B52轰炸机,"[{'term': 'B52轰油炸机', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'B52轰deep-fried机', 'language': 'en', 'language_code': 'en-US'}]",其他,3,,,,,,dishes/drink/B52轰炸机.md
201000014,Recipe,Mojito莫吉托,Mojito莫吉托 (Recipe),Mojito莫吉托,[],其他,3,,,,,,dishes/drink/Mojito莫吉托.md
201000015,Recipe,可乐桶,可乐桶 (Recipe),可乐桶,[],其他,2,,,,,,dishes/drink/可乐桶.md
201000016,Recipe,奶茶,奶茶 (Recipe),奶茶,[],其他,2,,,,,,dishes/drink/奶茶.md
201000017,Recipe,长岛冰茶,长岛冰茶 (Recipe),长岛冰茶,[],其他,2,,,,,,dishes/drink/长岛冰茶.md
201000018,Recipe,杨枝甘露,杨枝甘露 (Recipe),杨枝甘露,[],其他,2,,,,,,dishes/drink/杨枝甘露.md
201000019,Recipe,百香果橙子特调,百香果橙子特调 (Recipe),百香果橙子特调,[],其他,3,,,,,,dishes/drink/百香果橙子特调/百香果橙子特调.md
201000020,Recipe,菠萝咖啡特调,菠萝咖啡特调 (Recipe),菠萝咖啡特调,[],其他,3,,,,,,dishes/drink/菠萝咖啡特调/菠萝咖啡特调.md
201000021,Recipe,奇异果菠菜特调,奇异果菠菜特调 (Recipe),奇异果菠菜特调,[],其他,1,,,,,,dishes/drink/奇异果菠菜特调/奇异果菠菜特调.md
201000022,Recipe,冰粉,冰粉 (Recipe),冰粉,[],其他,2,,,,,,dishes/drink/冰粉/冰粉.md
201000023,Recipe,砂糖椰子冰沙,砂糖椰子冰沙 (Recipe),砂糖椰子冰沙,[],其他,1,,,,,,dishes/drink/砂糖椰子冰沙/砂糖椰子冰沙.md
201000024,Recipe,酒酿（醪糟）,酒酿（醪糟） (Recipe),酒酿（醪糟）,[],其他,4,,,,,,dishes/drink/酒酿醪糟/酒酿醪糟.md
201000025,Recipe,海边落日,海边落日 (Recipe),海边落日,[],其他,3,,,,,,dishes/drink/海边落日/海边落日.md
201000026,Recipe,柠檬水,柠檬水 (Recipe),柠檬水,[],其他,1,,,,,,dishes/drink/柠檬水/柠檬水.md
201000027,Recipe,酸梅汤,酸梅汤 (Recipe),酸梅汤,[],其他,4,,,,,,dishes/drink/酸梅汤/酸梅汤.md
201000028,Recipe,泰国手标红茶,泰国手标红茶 (Recipe),泰国手标红茶,[],其他,3,,,,,,dishes/drink/泰国手标红茶/泰国手标红茶.md
201000029,Recipe,金菲士,金菲士 (Recipe),金菲士,[],其他,2,,,,,,dishes/drink/金菲士/金菲士.md
201000030,Recipe,金汤力,金汤力 (Recipe),金汤力,[],其他,2,,,,,,dishes/drink/金汤力/金汤力.md
201000031,Recipe,耙耙柑茶,耙耙柑茶 (Recipe),耙耙柑茶,[],其他,2,,,,,,dishes/drink/耙耙柑茶/耙耙柑茶.md
201000032,Recipe,红柚蛋糕,红柚蛋糕 (Recipe),红柚蛋糕,[],素菜,3,,,,,,dishes/dessert/红柚蛋糕/红柚蛋糕.md
201000033,Recipe,英式司康,英式司康 (Recipe),英式司康,[],其他,3,,,,,,dishes/dessert/英式司康/英式司康.md
201000034,Recipe,龟苓膏,龟苓膏 (Recipe),龟苓膏,[],其他,2,,,,,,dishes/dessert/龟苓膏/龟苓膏.md
201000035,Recipe,提拉米苏,提拉米苏 (Recipe),提拉米苏,[],其他,4,,,,,,dishes/dessert/提拉米苏/提拉米苏.md
201000036,Recipe,酸奶意式奶冻,酸奶意式奶冻 (Recipe),酸奶意式奶冻,[],其他,4,,,,,,dishes/dessert/酸奶意式奶冻/酸奶意式奶冻.md
201000037,Recipe,烤蛋挞,烤蛋挞 (Recipe),烤蛋挞,"[{'term': '烘烤蛋挞', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'roasted蛋挞', 'language': 'en', 'language_code': 'en-US'}, {'term': 'baked蛋挞', 'language': 'en', 'language_code': 'en-US'}]",素菜,4,,,,,,dishes/dessert/烤蛋挞/烤蛋挞.md
201000038,Recipe,炸鲜奶,炸鲜奶 (Recipe),炸鲜奶,"[{'term': 'deep-fried鲜奶', 'language': 'en', 'language_code': 'en-US'}, {'term': '油炸鲜奶', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,3,,,,,,dishes/dessert/炸鲜奶/炸鲜奶.md
201000039,Recipe,反沙芋头,反沙芋头 (Recipe),反沙芋头,[],其他,3,,,,,,dishes/dessert/反沙芋头/反沙芋头.md
201000040,Recipe,雪花酥,雪花酥 (Recipe),雪花酥,[],其他,3,,,,,,dishes/dessert/雪花酥/雪花酥.md
